,precision,recall,f1-score,support
comp.sys.ibm.pc.hardware,0.7202072538860104,0.7595628415300546,0.7393617021276596,183.0
talk.religion.misc,0.8738738738738738,0.7132352941176471,0.7854251012145749,136.0
comp.graphics,0.7918552036199095,0.8663366336633663,0.8274231678486997,202.0
comp.os.ms-windows.misc,0.826530612244898,0.8307692307692308,0.8286445012787724,195.0
misc.forsale,0.837696335078534,0.8290155440414507,0.8333333333333334,193.0
sci.electronics,0.8620689655172413,0.8663366336633663,0.8641975308641975,202.0
comp.windows.x,0.8926829268292683,0.8511627906976744,0.8714285714285714,215.0
comp.sys.mac.hardware,0.8979591836734694,0.8585365853658536,0.8778054862842892,205.0
alt.atheism,0.8758169934640523,0.8874172185430463,0.881578947368421,151.0
talk.politics.misc,0.9256756756756757,0.8616352201257862,0.8925081433224755,159.0
macro avg,0.9001610953469987,0.8963173918874734,0.8974341285706939,3770.0
weighted avg,0.9005280170629784,0.8994694960212202,0.8993013393226662,3770.0
accuracy,0.8994694960212202,0.8994694960212202,0.8994694960212202,0.8994694960212202
rec.autos,0.9108910891089109,0.9387755102040817,0.9246231155778895,196.0
talk.politics.guns,0.9358288770053476,0.9308510638297872,0.9333333333333333,188.0
sci.space,0.9073170731707317,0.9841269841269841,0.9441624365482234,189.0
soc.religion.christian,0.9166666666666666,0.9801980198019802,0.9473684210526315,202.0
rec.motorcycles,0.9691358024691358,0.9345238095238095,0.9515151515151515,168.0
sci.med,0.9538461538461539,0.9587628865979382,0.9562982005141388,194.0
sci.crypt,0.9844559585492227,0.945273631840796,0.9644670050761421,201.0
rec.sport.hockey,0.9601990049751243,0.9747474747474747,0.9674185463659147,198.0
rec.sport.baseball,0.9715639810426541,0.9715639810426541,0.9715639810426541,211.0
talk.politics.mideast,0.988950276243094,0.9835164835164835,0.9862258953168044,182.0
